,Latitude,Longitude,O3BelowCloud,UVAerosolIndex
112,-88.05499,-23.7201,0.0,-0.10783122
113,-87.48747,-39.616524,0.0,0.03087625
114,-86.86684,-48.120186,0.0,0.20009445
115,-86.256256,-53.09345,0.0,-0.04766739
116,-85.67199,-56.24965,0.0,-0.12881331
117,-85.11622,-58.380714,0.0,-0.32259858
118,-84.58675,-59.887905,0.0,-0.37888378
119,-84.08008,-60.99207,0.0,-0.5780889
120,-83.59245,-61.82316,0.0,-0.87970436
121,-83.12021,-62.461784,0.0,-0.7195343
122,-82.659904,-62.96008,0.0,-1.028689
123,-82.20825,-63.35286,0.0,-0.9815867
124,-81.76215,-63.663925,0.0,-1.1140087
125,-81.451584,-63.843292,0.0,-1.1389316
126,-81.22991,-63.953125,0.0,-1.09347
127,-80.87455,-64.102066,0.0,-1.0794281
128,-80.42703,-64.24871,0.0,-1.1872813
129,-79.972885,-64.355125,0.0,-1.1100918
130,-79.508766,-64.424706,0.0,-1.0400712
131,-79.03101,-64.45919,0.0,-0.85912216
132,-78.53554,-64.458916,0.0,-0.72924894
133,-78.017654,-64.42293,-1.2676506e+30,-1.2676506e+30
134,-77.47185,-64.34902,-1.2676506e+30,-1.2676506e+30
135,-76.89151,-64.233696,-1.2676506e+30,-1.2676506e+30
136,-76.26849,-64.07203,-1.2676506e+30,-1.2676506e+30
137,-75.592476,-63.85747,-1.2676506e+30,-1.2676506e+30
138,-74.85006,-63.581593,-1.2676506e+30,-1.2676506e+30
139,-74.02319,-63.23362,-1.2676506e+30,-1.2676506e+30
140,-73.086624,-62.799843,-1.2676506e+30,-1.2676506e+30
141,-72.00315,-62.262676,-1.2676506e+30,-1.2676506e+30
142,-70.71433,-61.59911,-1.2676506e+30,-1.2676506e+30
143,-69.02885,-60.730804,-1.2676506e+30,-1.2676506e+30
144,-85.63348,79.53956,0.0,0.14313072
145,-87.43541,68.47344,0.0,-0.033323176
146,-88.4729,44.994614,0.0,-0.30419952
147,-88.77431,-0.49133176,0.0,0.045617294
148,-88.33,-34.50683,0.0,-0.34447396
149,-87.66365,-49.10106,0.0,-0.2608916
150,-86.98792,-55.991158,0.0,-0.34477556
151,-86.34504,-59.767212,0.0,-0.19077596
152,-85.7404,-62.059284,0.0,-0.09855883
153,-85.17101,-63.548508,0.0,-0.07660623
154,-84.63203,-64.5621,0.0,-0.19680214
155,-84.11849,-65.274445,0.0,-0.35518464
156,-83.62578,-65.78585,0.0,-0.24700555
157,-83.14971,-66.15745,0.0,-0.43730107
158,-82.68649,-66.42815,0.0,-0.6172577
159,-82.23261,-66.623474,0.0,-0.8106517
160,-81.78481,-66.760574,0.0,-0.8421076
161,-81.473305,-66.829445,0.0,-1.1172845
162,-81.25108,-66.86516,0.0,-1.0130328
163,-80.89501,-66.90271,0.0,-1.1429808
164,-80.44688,-66.92073,0.0,-1.1557218
165,-79.99238,-66.90824,0.0,-1.0227154
166,-79.52815,-66.86681,0.0,-1.0037771
167,-79.050545,-66.79672,0.0,-1.0944542
168,-78.55545,-66.69707,0.0,-0.8819736
169,-78.03821,-66.56586,0.0,-0.611375
170,-77.493324,-66.39996,0.0,-0.6330667
171,-76.914215,-66.19506,-1.2676506e+30,-1.2676506e+30
172,-76.29277,-65.94546,-1.2676506e+30,-1.2676506e+30
173,-75.61874,-65.64387,-1.2676506e+30,-1.2676506e+30
174,-74.87877,-65.28109,-1.2676506e+30,-1.2676506e+30
175,-74.05491,-64.84552,-1.2676506e+30,-1.2676506e+30
176,-73.122,-64.32248,-1.2676506e+30,-1.2676506e+30
177,-72.04302,-63.69316,-1.2676506e+30,-1.2676506e+30
178,-70.75969,-62.932854,-1.2676506e+30,-1.2676506e+30
179,-69.08135,-61.955128,-1.2676506e+30,-1.2676506e+30
180,-85.84955,84.48328,0.0,0.274012
181,-87.71161,76.26505,0.0,0.24918202
182,-88.85865,53.449158,0.0,0.13811249
183,-89.15848,-11.89743,0.0,-0.6799581
184,-88.52495,-48.761276,0.0,-0.018051745
185,-87.76694,-59.76394,0.0,-0.46865192
186,-87.04844,-64.33434,0.0,-0.17152947
187,-86.38257,-66.66347,0.0,-0.061263964
188,-85.76429,-67.98677,0.0,-0.12776731
189,-85.18627,-68.78424,0.0,-0.27791572
190,-84.6416,-69.27806,0.0,-0.040883854
191,-84.12422,-69.58385,0.0,-0.19109349
192,-83.6289,-69.76683,0.0,-0.20439821
193,-83.15106,-69.86602,0.0,-0.090181336
194,-82.68667,-69.9057,0.0,-0.46214792
195,-82.23207,-69.901375,0.0,-0.5335358
196,-81.783905,-69.863075,0.0,-0.791641
197,-81.4723,-69.82077,0.0,-0.90769607
198,-81.250084,-69.78199,0.0,-1.0416307
199,-80.89416,-69.707726,0.0,-1.1957204
200,-80.446365,-69.596794,0.0,-1.12859
201,-79.99241,-69.46523,0.0,-0.9812134
202,-79.528915,-69.31277,0.0,-0.87263536
203,-79.05222,-69.13815,0.0,-1.034881
204,-78.55826,-68.939255,0.0,-0.98467475
205,-78.04235,-68.713,0.0,-0.8194151
206,-77.499054,-68.455345,0.0,-0.7575355
207,-76.921814,-68.16113,0.0,-0.6154559
208,-76.30256,-67.82389,-1.2676506e+30,-1.2676506e+30
209,-75.6311,-67.435585,-1.2676506e+30,-1.2676506e+30
210,-74.894165,-66.98624,-1.2676506e+30,-1.2676506e+30
211,-74.073875,-66.4634,-1.2676506e+30,-1.2676506e+30
212,-73.145195,-65.851425,-1.2676506e+30,-1.2676506e+30
213,-72.07121,-65.13025,-1.2676506e+30,-1.2676506e+30
214,-70.793846,-64.273445,-1.2676506e+30,-1.2676506e+30
215,-69.123055,-63.186455,-1.2676506e+30,-1.2676506e+30
216,-86.02999,89.962036,0.0,0.283047
217,-87.933556,86.02165,0.0,0.005934621
218,-89.19548,69.82529,0.0,0.28846243
219,-89.46296,-38.652054,0.0,-0.5429294
220,-88.607994,-65.96968,0.0,-0.2592436
221,-87.78863,-71.05978,0.0,-0.050664335
222,-87.04586,-72.85964,0.0,-0.41672447
223,-86.36827,-73.61742,0.0,-0.23644796
224,-85.74379,-73.92955,0.0,-0.21006945
225,-85.16241,-74.0191,0.0,-0.3954742
226,-84.61599,-73.98678,0.0,-0.26293987
227,-84.09785,-73.88368,0.0,-0.22848108
228,-83.60239,-73.73769,0.0,-0.2564506
229,-83.12483,-73.56471,0.0,-0.24032618
230,-82.66101,-73.373955,0.0,-0.39586282
231,-82.20721,-73.17071,0.0,-0.61775213
232,-81.759995,-72.957756,0.0,-0.9207376
233,-81.44913,-72.80478,0.0,-0.94714
234,-81.22749,-72.691864,0.0,-0.7836746
235,-80.87255,-72.50635,0.0,-1.0653031
236,-80.426094,-72.26711,0.0,-1.2749003
237,-79.97359,-72.0171,0.0,-1.0668213
238,-79.511665,-71.75416,0.0,-1.0105937
239,-79.0367,-71.475555,0.0,-0.9907744
240,-78.54462,-71.1779,0.0,-0.8702522
241,-78.03079,-70.85707,0.0,-0.80884135
242,-77.4898,-70.508095,0.0,-0.87243026
243,-76.91514,-70.124985,0.0,-0.9112034
244,-76.29878,-69.70049,0.0,-0.49536246
245,-75.630615,-69.22583,-1.2676506e+30,-1.2676506e+30
246,-74.89742,-68.69024,-1.2676506e+30,-1.2676506e+30
247,-74.08145,-68.080444,-1.2676506e+30,-1.2676506e+30
248,-73.15777,-67.37978,-1.2676506e+30,-1.2676506e+30
249,-72.08964,-66.56695,-1.2676506e+30,-1.2676506e+30
250,-70.81917,-65.61377,-1.2676506e+30,-1.2676506e+30
251,-69.15709,-64.41752,-1.2676506e+30,-1.2676506e+30
252,-86.16992,95.89793,0.0,0.33722776
253,-88.081795,97.685036,0.0,0.11370362
254,-89.39262,101.85433,0.0,0.12700705
255,-89.503365,-88.23275,0.0,0.03972114
256,-88.55839,-83.57773,0.0,-0.70429134
257,-87.72556,-82.143166,0.0,-0.2811851
258,-86.97975,-81.1878,0.0,-0.17529115
259,-86.30225,-80.4189,0.0,-0.51544017
260,-85.679115,-79.754745,0.0,-0.74221146
261,-85.09965,-79.16155,0.0,-0.4216377
262,-84.55539,-78.62146,0.0,-0.47622985
263,-84.03951,-78.12321,0.0,-0.5603307
264,-83.54635,-77.658775,0.0,-0.79741603
265,-83.07109,-77.221886,0.0,-0.63710594
266,-82.60956,-76.807335,0.0,-0.54795206
267,-82.15801,-76.410576,0.0,-0.4260227
268,-81.71305,-76.0275,0.0,-0.637873
269,-81.40375,-75.76657,0.0,-0.7004828
270,-81.18324,-75.5813,0.0,-0.8031962
271,-80.83011,-75.2871,0.0,-0.8313894
272,-80.38593,-74.9224,0.0,-0.89621544
273,-79.93576,-74.55641,0.0,-0.8376658
274,-79.47624,-74.1852,0.0,-1.0588408
275,-79.00378,-73.804596,0.0,-0.971463
276,-78.51432,-73.40998,0.0,-0.8427188
277,-78.00328,-72.99621,0.0,-0.8507322
278,-77.46529,-72.55742,0.0,-0.83722115
279,-76.89387,-72.0868,0.0,-0.88011384
280,-76.28107,-71.576355,0.0,-0.7204779
281,-75.61684,-71.016556,0.0,-0.5208282
282,-74.888054,-70.395874,-1.2676506e+30,-1.2676506e+30
283,-74.077065,-69.70018,-1.2676506e+30,-1.2676506e+30
284,-73.15907,-68.911835,-1.2676506e+30,-1.2676506e+30
285,-72.0975,-68.00827,-1.2676506e+30,-1.2676506e+30
286,-70.83471,-66.95955,-1.2676506e+30,-1.2676506e+30
287,-69.18226,-65.654785,-1.2676506e+30,-1.2676506e+30
288,-86.26442,102.231094,0.0,0.4500016
289,-88.13836,110.69287,0.0,0.18676917
290,-89.31588,140.55238,0.0,0.1418773
291,-89.23647,-120.71008,0.0,0.20719019
292,-88.38833,-98.757996,0.0,-0.56474274
293,-87.5844,-92.299095,0.0,-0.71868396
294,-86.854126,-89.01859,0.0,-0.51834965
295,-86.18723,-86.90585,0.0,-0.6521627
296,-85.57225,-85.36099,0.0,-0.9260044
297,-84.99948,-84.14183,0.0,-0.5982246
298,-84.460976,-83.13072,0.0,-0.53175604
299,-83.95018,-82.26266,0.0,-0.45304877
300,-83.46159,-81.4981,0.0,-0.6896885
301,-82.99053,-80.81106,0.0,-0.8122547
302,-82.5329,-80.18334,0.0,-1.0519495
303,-82.085014,-79.60152,0.0,-0.7902091
304,-81.64354,-79.05513,0.0,-0.6398818
305,-81.336586,-78.690315,0.0,-0.78821087
306,-81.11774,-78.43529,0.0,-0.8716602
307,-80.76721,-78.036125,0.0,-0.79513204
308,-80.32624,-77.54999,0.0,-0.7643739
309,-79.87926,-77.07148,0.0,-0.8228907
